127.0.0.1 - - [19/Nov/2019:14:04:27 -0500] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:04:29 -0500] "GET /m3-java-capstone/ HTTP/1.1" 200 12441
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:04:29 -0500] "GET /m3-java-capstone/css/styles.css;jsessionid=FF7486587087698FEF65F7A46082642A HTTP/1.1" 200 4316
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:04:29 -0500] "GET /m3-java-capstone/img/npgeeklogo.png;jsessionid=FF7486587087698FEF65F7A46082642A HTTP/1.1" 200 38290
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:04:29 -0500] "GET /m3-java-capstone/img/parks/cvnp.jpg;jsessionid=FF7486587087698FEF65F7A46082642A HTTP/1.1" 200 123819
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:04:29 -0500] "GET /m3-java-capstone/img/parks/gcnp.jpg;jsessionid=FF7486587087698FEF65F7A46082642A HTTP/1.1" 200 142514
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:04:29 -0500] "GET /m3-java-capstone/img/parks/enp.jpg;jsessionid=FF7486587087698FEF65F7A46082642A HTTP/1.1" 200 152401
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:04:29 -0500] "GET /m3-java-capstone/img/parks/gnp.jpg;jsessionid=FF7486587087698FEF65F7A46082642A HTTP/1.1" 200 31500
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:04:29 -0500] "GET /m3-java-capstone/img/parks/mrnp.jpg;jsessionid=FF7486587087698FEF65F7A46082642A HTTP/1.1" 200 124177
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:04:29 -0500] "GET /m3-java-capstone/img/parks/gsmnp.jpg;jsessionid=FF7486587087698FEF65F7A46082642A HTTP/1.1" 200 141698
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:04:29 -0500] "GET /m3-java-capstone/img/parks/gtnp.jpg;jsessionid=FF7486587087698FEF65F7A46082642A HTTP/1.1" 200 92474
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:04:29 -0500] "GET /m3-java-capstone/img/parks/rmnp.jpg;jsessionid=FF7486587087698FEF65F7A46082642A HTTP/1.1" 200 142975
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:04:29 -0500] "GET /m3-java-capstone/img/parks/ynp.jpg;jsessionid=FF7486587087698FEF65F7A46082642A HTTP/1.1" 200 116702
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:04:29 -0500] "GET /m3-java-capstone/img/parks/ynp2.jpg;jsessionid=FF7486587087698FEF65F7A46082642A HTTP/1.1" 200 71995
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:05:09 -0500] "GET /m3-java-capstone/ HTTP/1.1" 200 10460
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:05:09 -0500] "GET /m3-java-capstone/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:05:09 -0500] "GET /m3-java-capstone/img/npgeeklogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:05:09 -0500] "GET /m3-java-capstone/img/parks/cvnp.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:05:09 -0500] "GET /m3-java-capstone/img/parks/enp.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:05:09 -0500] "GET /m3-java-capstone/img/parks/gnp.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:05:09 -0500] "GET /m3-java-capstone/img/parks/gcnp.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:05:10 -0500] "GET /m3-java-capstone/img/parks/gsmnp.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:05:10 -0500] "GET /m3-java-capstone/img/parks/gtnp.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:05:10 -0500] "GET /m3-java-capstone/img/parks/mrnp.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:05:10 -0500] "GET /m3-java-capstone/img/parks/ynp.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:05:10 -0500] "GET /m3-java-capstone/img/parks/rmnp.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:05:10 -0500] "GET /m3-java-capstone/img/parks/ynp2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:07:02 -0500] "GET /m3-java-capstone/park-details?parkCode=cvnp HTTP/1.1" 200 5523
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:07:02 -0500] "GET /m3-java-capstone/img/weather/rain.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:07:02 -0500] "GET /m3-java-capstone/img/weather/partly%20cloudy.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:14:07:02 -0500] "GET /m3-java-capstone/img/weather/thunderstorms.png HTTP/1.1" 304 -
