127.0.0.1 - - [19/Dec/2019:08:53:53 -0500] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [19/Dec/2019:08:53:53 -0500] "GET /AuthenticationApplication/ HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [19/Dec/2019:08:54:51 -0500] "OPTIONS /AuthenticationApplication/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:08:54:52 -0500] "POST /AuthenticationApplication/login HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [19/Dec/2019:08:54:52 -0500] "OPTIONS /AuthenticationApplication/api/admin HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:08:54:52 -0500] "GET /AuthenticationApplication/api/admin HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [19/Dec/2019:08:58:14 -0500] "GET /AuthenticationApplication/api/admin HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [19/Dec/2019:08:58:23 -0500] "GET /AuthenticationApplication/api/admin HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:00:47 -0500] "GET /AuthenticationApplication/api/admin HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:01:27 -0500] "GET /AuthenticationApplication/api/admin HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:03:12 -0500] "GET /AuthenticationApplication/api/admin HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:03:57 -0500] "POST /AuthenticationApplication/login HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:06:56 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:07:00 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:07:16 -0500] "POST /AuthenticationApplication/login HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:07:16 -0500] "GET /AuthenticationApplication/api/admin HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:07:24 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:07:31 -0500] "GET /AuthenticationApplication/api/admin HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:07:33 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:07:42 -0500] "POST /AuthenticationApplication/login HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:07:42 -0500] "GET /AuthenticationApplication/api/admin HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:13:43 -0500] "GET /AuthenticationApplication/api/admin HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:13:43 -0500] "GET /AuthenticationApplication/api/admin/teacher HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:13:43 -0500] "GET /AuthenticationApplication/api/teacher/students HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:13:43 -0500] "GET /AuthenticationApplication/api/admin HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:13:43 -0500] "GET /AuthenticationApplication/api/teacher/students HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:13:43 -0500] "GET /AuthenticationApplication/api/admin/teacher HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:14:07 -0500] "GET /AuthenticationApplication/api/admin HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:14:07 -0500] "GET /AuthenticationApplication/api/admin/teacher HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:14:07 -0500] "GET /AuthenticationApplication/api/teacher/students HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:14:14 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
